NO,飼育頭数,疑似決定,殺処分開始,殺処分終了,殺処分開始までの日数,殺処分完了までの日数,type_of_farm
224,16,05月28日,06月02日,06月03日,,,C
225,552,05月29日,06月07日,06月07日,,,S
226,287,05月29日,06月11日,06月11日,,,S
227,4222,05月29日,06月18日,06月24日,,,C
228,1018,05月29日,06月16日,06月17日,,,C
229,620,05月29日,06月18日,06月19日,,,C
230,33,05月29日,06月01日,06月01日,,,C
231,46,05月29日,06月12日,06月12日,,,C
232,48,05月30日,06月16日,06月16日,,,C
233,411,05月30日,06月04日,06月05日,,,C
234,3,05月30日,06月05日,06月05日,,,C
235,876,05月30日,06月09日,06月12日,,,C
236,4,05月30日,06月01日,06月01日,,,C
237,35,05月30日,06月02日,06月02日,,,C
238,64,05月30日,05月31日,05月31日,,,C
239,39,05月31日,06月10日,06月10日,,,C
240,41,05月31日,06月11日,06月11日,,,C
241,23,05月31日,06月08日,06月08日,,,C
242,84,05月31日,06月08日,06月08日,,,C
243,252,05月31日,06月03日,06月03日,,,C
244,28,05月31日,06月04日,06月04日,,,C
245,12,05月31日,06月05日,06月05日,,,C
246,68,05月31日,06月11日,06月11日,,,C
247,13,05月31日,06月08日,06月08日,,,C
248,4837,06月01日,06月03日,06月05日,,,S
249,5,06月01日,06月08日,06月08日,,,C
250,43,06月01日,06月14日,06月14日,,,C
251,26,06月01日,06月09日,06月09日,,,C
252,295,06月01日,06月14日,06月14日,,,C
253,787,06月01日,06月03日,06月05日,,,C
254,56,06月02日,06月10日,06月10日,,,C
255,842,06月02日,06月06日,06月06日,,,S
256,2187,06月02日,06月11日,06月11日,,,S
257,119,06月02日,06月07日,06月07日,,,C
258,4832,06月02日,06月12日,06月16日,,,S
259,793,06月02日,06月19日,06月19日,,,S
260,22,06月02日,06月15日,06月15日,,,C
261,662,06月02日,06月11日,06月11日,,,S
262,86,06月02日,06月05日,06月05日,,,C
263,42,06月02日,06月18日,06月18日,,,C
264,6,06月02日,06月05日,06月05日,,,C
265,22,06月03日,06月08日,06月08日,,,C
266,70,06月03日,06月14日,06月14日,,,C
267,12,06月03日,06月08日,06月08日,,,C
268,617,06月03日,06月11日,06月11日,,,S
269,80,06月03日,06月06日,06月06日,,,C
270,307,06月04日,06月11日,06月11日,,,S
